InvoiceId,Total
404,25.86
299,23.86
96,21.86
194,21.86
89,18.86
201,18.86
88,17.91
306,16.86
313,16.86
103,15.86
208,15.86
193,14.91
5,13.86
12,13.86
19,13.86
26,13.86
33,13.86
40,13.86
47,13.86
54,13.86
61,13.86
68,13.86
75,13.86
82,13.86
110,13.86
117,13.86
124,13.86
131,13.86
138,13.86
145,13.86
152,13.86
159,13.86
166,13.86
173,13.86
180,13.86
187,13.86
215,13.86
222,13.86
229,13.86
236,13.86
243,13.86
250,13.86
257,13.86
264,13.86
271,13.86
278,13.86
285,13.86
292,13.86
320,13.86
327,13.86
334,13.86
341,13.86
348,13.86
355,13.86
362,13.86
369,13.86
376,13.86
383,13.86
390,13.86
397,13.86
411,13.86
311,11.94
298,10.91
312,10.91
102,9.91
206,8.94
4,8.91
11,8.91
18,8.91
25,8.91
32,8.91
39,8.91
46,8.91
53,8.91
60,8.91
67,8.91
74,8.91
81,8.91
95,8.91
109,8.91
116,8.91
123,8.91
130,8.91
137,8.91
144,8.91
151,8.91
158,8.91
165,8.91
172,8.91
179,8.91
186,8.91
200,8.91
207,8.91
214,8.91
221,8.91
228,8.91
235,8.91
242,8.91
249,8.91
256,8.91
263,8.91
270,8.91
277,8.91
284,8.91
291,8.91
305,8.91
319,8.91
326,8.91
333,8.91
340,8.91
347,8.91
354,8.91
361,8.91
368,8.91
375,8.91
382,8.91
389,8.91
396,8.91
403,8.91
410,8.91
205,7.96
310,7.96
87,6.94
3,5.94
10,5.94
17,5.94
24,5.94
31,5.94
38,5.94
45,5.94
52,5.94
59,5.94
66,5.94
73,5.94
80,5.94
94,5.94
101,5.94
108,5.94
115,5.94
122,5.94
129,5.94
136,5.94
143,5.94
150,5.94
157,5.94
164,5.94
171,5.94
178,5.94
185,5.94
192,5.94
199,5.94
213,5.94
220,5.94
227,5.94
234,5.94
241,5.94
248,5.94
255,5.94
262,5.94
269,5.94
276,5.94
283,5.94
290,5.94
297,5.94
304,5.94
318,5.94
325,5.94
332,5.94
339,5.94
346,5.94
353,5.94
360,5.94
367,5.94
374,5.94
381,5.94
388,5.94
395,5.94
402,5.94
409,5.94
